ItemCliente;ItemSmarkets;CodigoPDM;TituloPDM;TextLongoPDM;NCM;Status
CAIXA P/ ARQUIVO MORTO PLASTICA - ROSA;CAIXA P/ ARQUIVO MORTO PLASTICA - ROSA;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR ROSA; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - VERDE;CAIXA P/ ARQUIVO MORTO PLASTICA - VERDE;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR VERDE; DIMENSOES";3923.10.90;PARCIAL
CAIXA P/ ARQUIVO MORTO PLASTICA - VERMEL;CAIXA P/ ARQUIVO MORTO PLASTICA - VERMEL;CAMOR;CAIXA ARQUIVO MORTO;"CAIXA ARQUIVO MORTO; MODELO ; MATERIAL PLASTICO; GRAMATURA ; IMPRESSAO ; VISOR ; QUANTIDADE IMPRESSAO ; COR VERMELHO; DIMENSOES";3923.10.90;PARCIAL
CAIXA PLASTICA 2,3L REF. 950 SAN REMO;CAIXA PLASTICA 2,3L REF. 950 SAN REMO;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR TRANSPARENTE; TAMPA COM TAMPA; COR TAMPA TRANSPARENTE; DIMENSOES 262 X 177 X 85MM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO 4 TRAVAS; ALCA SEM ALCA; QUANTIDADE DIVISOES 1; FABRICANTE-REFERENCIA SANREMO-950 2,3L";3923.10.90;TOTAL
CAIXA PLASTICA 4,2L REF. 6625 PLASUTIL;CAIXA PLASTICA 4,2L REF. 6625 PLASUTIL;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR ; TAMPA ; COR TAMPA ; DIMENSOES MM; TIPO ABERTURA ; TIPO FECHAMENTO ; ALCA ; QUANTIDADE DIVISOES ; FABRICANTE-REFERENCIA PLASUTIL-6625 4,2L";3923.10.90;PARCIAL
CAIXA PLASTICA 42L REF. 980 SAN REMO;CAIXA PLASTICA 42L REF. 980 SAN REMO;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR TRANSPARENTE; TAMPA COM TAMPA; COR TAMPA TRANSPARENTE; DIMENSOES 650 X 445 X 245MM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO 4 TRAVAS; ALCA SEM ALCA; QUANTIDADE DIVISOES 1; FABRICANTE-REFERENCIA SANREMO-980 42L";3923.10.90;TOTAL
CAIXA PLASTICA 8,6L REF. 960 SAN REMO;CAIXA PLASTICA 8,6L REF. 960 SAN REMO;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR TRANSPARENTE; TAMPA COM TAMPA; COR TAMPA TRANSPARENTE; DIMENSOES 400 X 270 X 133MM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO 4 TRAVAS; ALCA SEM ALCA; QUANTIDADE DIVISOES 1; FABRICANTE-REFERENCIA SANREMO-960 8,6L";3923.10.90;TOTAL
CAIXA PLASTICA BIOPRATIKA 16.5L PLEION;CAIXA PLASTICA BIOPRATIKA 16.5L PLEION;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR BRANCO; TAMPA COM TAMPA; COR TAMPA BRANCO; DIMENSOES 13,20 X 33,80 X 54,40CM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO ENCAIXE; ALCA 2 ALCAS; QUANTIDADE DIVISOES 1; FABRICANTE-REFERENCIA PLEION-BIOPRATIKA 0630 16,5L";3923.10.90;TOTAL
CAIXA PLASTICA BIOPRATIKA C/ TAMPA 5L PL;CAIXA PLASTICA BIOPRATIKA C/ TAMPA 5L PL;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR BRANCO; TAMPA COM TAMPA; COR TAMPA BRANCO; DIMENSOES 12,80 X 17,00 X 33,70CM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO ENCAIXE; ALCA 2 ALCAS; QUANTIDADE DIVISOES 1; FABRICANTE-REFERENCIA PLEION-BIOPRATIKA 0510 5L";3923.10.90;TOTAL
CAIXA PLASTICA ORDENE REF 22050;CAIXA PLASTICA ORDENE REF 22050;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR CRISTAL; TAMPA COM TAMPA; COR TAMPA CRISTAL; DIMENSOES 16 X 43 X 63,50CM; TIPO ABERTURA SUPERIOR; TIPO FECHAMENTO ENCAIXE; ALCA SEM ALCA; QUANTIDADE DIVISOES 1; FABRICANTE-REFERENCIA ORDENE-22050";3923.10.90;TOTAL
CAIXA PLASTICA ORGANIZADORA 10L REF 101;CAIXA PLASTICA ORGANIZADORA 10L REF 101;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR ; TAMPA ; COR TAMPA ; DIMENSOES MM; TIPO ABERTURA ; TIPO FECHAMENTO ; ALCA ; QUANTIDADE DIVISOES ; FABRICANTE-REFERENCIA";3923.10.90;PARCIAL
CAIXA PLASTICA ORGANIZADORA 10LITROS;CAIXA PLASTICA ORGANIZADORA 10LITROS;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR ; TAMPA ; COR TAMPA ; DIMENSOES MM; TIPO ABERTURA ; TIPO FECHAMENTO ; ALCA ; QUANTIDADE DIVISOES ;";3923.10.90;PARCIAL
CAIXA PLASTICA ORGANIZADORA 5L REF 217;CAIXA PLASTICA ORGANIZADORA 5L REF 217;CORGA;CAIXA ORGANIZADORA;"CAIXA ORGANIZADORA; MATERIAL PLASTICO; COR ; TAMPA ; COR TAMPA ; DIMENSOES MM; TIPO ABERTURA ; TIPO FECHAMENTO ; ALCA ; QUANTIDADE DIVISOES ;;";3923.10.90;PARCIAL
CAIXAS DE GIZ DE LOUSA COLORIDO;CAIXAS DE GIZ DE LOUSA COLORIDO;SEM PDM;SEM PDM;;;BACKLOG
CAIXAS DE LÁPIS DE COR BIC EVOLUTION PIJ;CAIXAS DE LÁPIS DE COR BIC EVOLUTION PIJ;LCOR;LAPIS COR;"LAPIS COR; TAMANHO; FORMATO; COR; FORMA FORNECIMENTO; FABRICANTE-REFERENCIA BIC-EVOLUTION PIJAMA";9609.10.00;PARCIAL
CALCULADORA DE BOLSO 8 DIGITOS CB-1483 -;CALCULADORA DE BOLSO 8 DIGITOS CB-1483 -;CALCU;CALCULADORA;"CALCULADORA; VISOR CRISTAL LIQUIDO-LCD; POSICAO VISOR PLANO; NUMERO DIGITO 8 DIGITOS; CAPACIDADE MEMORIA COM MEMORIA; IMPRESSAO SEM IMPRESSAO; FUNCOES 4 OPERACOES; DIMENSOES 115 X 64 X 21MM; COR PRETO; ALIMENTACAO PILHA/SOLAR; FABRICANTE-REFERENCIA ELGIN-CB1483";8470.10.00;TOTAL
CALCULADORA MESA 12DIGITOS ELGIN;CALCULADORA MESA 12DIGITOS ELGIN;CALCU;CALCULADORA;"CALCULADORA; VISOR CRISTAL LIQUIDO-LCD; POSICAO VISOR INCLINADO; NUMERO DIGITO 12 DIGITOS; CAPACIDADE MEMORIA COM MEMORIA; IMPRESSAO SEM IMPRESSAO; FUNCOES 4 OPERACOES; DIMENSOES 106 X 142 X 25MM; COR CINZA; ALIMENTACAO PILHA/SOLAR; FABRICANTE-REFERENCIA ELGIN-MV4122";8470.10.00;TOTAL
CANETA BIC CRISTAL AZUL;CANETA BIC CRISTAL AZUL;CESFE;CANETA ESFEROGRAFICA;"CANETA ESFEROGRAFICA; MATERIAL CORPO PLASTICO RIGIDO; COR CORPO CRISTAL; FORMATO CORPO HEXAGONAL; ESPESSURA ESCRITA 1MM; COR ESCRITA AZUL; ACIONAMENTO CARGA RETRATIL; ACESSORIO ; FORNECIMENTO 1 UNIDADE; FABRICANTE-REFERENCIA BIC-CRISTAL";9608.10.00;TOTAL
CANETA BIC CRISTAL PRETA;CANETA BIC CRISTAL PRETA;CESFE;CANETA ESFEROGRAFICA;"CANETA ESFEROGRAFICA; MATERIAL CORPO PLASTICO RIGIDO; COR CORPO CRISTAL; FORMATO CORPO HEXAGONAL; ESPESSURA ESCRITA 1MM; COR ESCRITA PRETO; ACIONAMENTO CARGA RETRATIL; ACESSORIO ; FORNECIMENTO 1 UNIDADE; FABRICANTE-REFERENCIA BIC-CRISTAL";9608.10.00;TOTAL
CANETA BIC CRISTAL VERMELHA;CANETA BIC CRISTAL VERMELHA;CESFE;CANETA ESFEROGRAFICA;"CANETA ESFEROGRAFICA; MATERIAL CORPO PLASTICO RIGIDO; COR CORPO CRISTAL; FORMATO CORPO HEXAGONAL; ESPESSURA ESCRITA 1MM; COR ESCRITA VERMELHO; ACIONAMENTO CARGA RETRATIL; ACESSORIO ; FORNECIMENTO 1 UNIDADE; FABRICANTE-REFERENCIA BIC-CRISTAL";9608.10.00;TOTAL
